row_idx,node_id,seminar_number,seminar_name,seminar_keywords,seminar_classification
76,9612,9612,Theoretical Foundations of Computer Vision,,
77,9622,9622,Geometric Modelling,,
78,9624,9624,Rendering,,
79,9626,9626,On-line Algorithms,,
80,9627,9627,Disjunctive Logic Programming and Databases: Nonmonotonic Aspects,,
81,9635,9635,The History of Software Engineering,,
82,9636,9636,Modelling and Planning for Sensor Based Intelligent Robot Systems,,
83,9637,9637,Graph Transformations in Computer Science,,
84,9638,9638,Expressiveness in Concurrency,,
85,9639,9639,Logic Databases and the Meaning of Change,,
86,9640,9640,Structure and Complexity,,
87,9643,9643,Algorithms and Complexity for Continuous Problems,,
88,9650,9650,Synchronous Languages,,
89,9702,9702,Theory and Practice of Machine Learning,,
90,97042,97042,Discrete Tomography: Algorithms and Complexity,,
91,9706,9706,Standards for Dialogue Coding in Natural Language Processing,,
92,9709,9709,Deduction,,
93,9710,9710,Logic for System Engineering,,
94,9711,9711,Complexity of Boolean Functions,,
95,9712,9712,Software Engineering and Database Technology,,
96,9715,9715,Object-Oriented Software Development,,
97,9717,9717,Computability and Complexity in Analysis,,
98,9723,9723,Scheduling in Computer and Manufacturing Systems,,
99,9724,9724,Scientific Visualization,,
100,9725,9725,High-Performance Networks for Multimedia Applications,,
101,9729,9729,Parallel Scheduling,,
102,9734,9734,Combinatorial Approximation Algorithms,,
103,9739,9739,Cryptography,,
104,9742,9742,Mobile Software-Agents,,
105,9743,9743,"Applications of Tree Automata in Rewriting, Logic and Programming",,
106,98061,98061,Scenario-Management,,
107,98241,98241,Real Computation and Complexity,,
108,98251,98251,Modelling and Simulation of Gene and Cell Regulation and Metabolic Pathways,,
109,98281,98281,Semi-Formal and Formal Specification Techniques for Software Systems,,
110,98331,98331,Self-Stabilization,,
111,98341,98341,Tiling for Optimal Resource Utilization,,
112,98361,98361,Test Automation for Reactive Systems – Theorie and Practice,,
113,98431,98431,Algorithms and Number Theory,,
114,98451,98451,"Advanced Course on the ""Principles of Program Analysis""",,
115,98471,98471,Integrating Spatial and Temporal Databases,,
116,99041,99041,Computer Aided Design and Test Decision Diagrams – Concepts and Applications,,
117,99111,99111,Systems Integration,,
118,99361,99361,"Social Thinking – Software Practice. Approaches Relating Software Development, Work, and Organisational Change",,
119,99451,99451,Rigorous Analysis and Design for Software Intensive Systems,,
120,99491,99491,Content-Based Image and Video Retrieval,,
121,00121,00121,Semantics for the Web,,
122,00241,00241,Multimedia for Multimedia: Learning and Teaching at the University in the Next Decade,,
123,00251,00251,Image Synthesis and Interactive 3D Graphics,,
124,00352,00352,"""Informatics – 10 Years Back, 10 Years Ahead"" Conference for Dagstuhl's 10th Anniversary",,
125,00371,00371,Experimental Algorithmics,,
126,00451,00451,Effective Implementation of Object-Oriented Programming Languages,,
127,00491,00491,Bioinformatics,,
128,01361,01361,Foundations of Semistructured Data,,
129,01391,01391,Specification and Analysis of Secure Cryptographic Protocols,,
130,01491,01491,Synchronous Languages,,
131,02041,02041,The Logic of Rational Agency,,
132,02061,02061,Rule Markup Techniques for the Semantic Web,,
133,02121,02121,Complexity of Boolean Functions,,
134,02201,02201,Geometric Modelling,,
135,02231,02231,Scheduling in Computer and Manufacturing Systems,,
136,02241,02241,Electronic Market Design,,
137,02261,02261,The Travelling Salesman Problem,,
138,02351,02351,Grand Challenges for Modelling and Simulation,,
139,02361,02361,Supporting Customer-Supplier Relationships: Requirements Engineering and Quality Assurance,,
140,02381,02381,"Nonmonotonic Reasoning, Answer Set Programming and Constraints",,
141,02401,02401,Algorithms and Complexity for Continuous Problems,,
142,02421,02421,Algebraic Methods in Quantum and Classical Models of Computation,,
143,02451,02451,Dependability of Component Based Systems,,
144,02471,02471,Computational Biology,,
145,02481,02481,Programming Multi Agent Systems based on Logic,,
146,03021,03021,Verification and Constructive Algebra,,
147,03041,03041,Numerical Software with Result Verification,,
148,03051,03051,Information and Process Integration: A Life Science Perspective,,
149,03071,03071,Emerging Technologies: Can Optimization Technology meet their Demands?,,
150,03081,03081,"Objects, Agents and Features",,
151,03091,03091,Program Analysis for Object-Oriented Evolution,Refactoring; program analysis; object­oriented programming; software evolution,
152,03101,03101,Reasoning about Shape,Shape analysis; program analysis; spatial logic; separation logic; heap storage; model checking,
153,03111,03111,Challenges in High Performance Simulations for Science and Engineering,,
154,03112,03112,Multimedia Retrieval,Multimedia retrieval; shape analysis; feature extraction; metric design; invariants; segmentation; mesh generation; knowledge representation; wavelets; geometric matching,
155,03121,03121,Computational Geometry,,
156,03131,03131,Domain-Specific Program Generation,,
157,03141,03141,The Propositional Satisfiability Problem -- Algorithms and Lower Bounds,,
158,03151,03151,Product Family Development,product family engineering; organizational issues; maturity; adoption; production; variability,
159,03191,03191,Conceptual and Technical Aspects of Electronic Learning,,
160,03211,03211,Adaptivity in Parallel Scientific Computing,distributed computing; BSP; scientific algorithms; task pools; cluster; grid computing,
161,03231,03231,Scientific Visualization: Extracting Information and Knowledge from Scientific Data Sets,,
162,03261,03261,Plan-Based Control of Robotic Agents,,
163,03271,03271,Hierarchical Methods in Computer Graphics,,
164,03291,03291,Algorithmic Game Theory and the Internet,Algorithmic Game Theory; Internet; Approximation Algorithms; Inherent Complexity; Resource Allocation; Stability; Nash Equilibria; Mechanism Design; Combinatorial Auctions; Cost Allocations; Cryptography; Congestion Fairness; Stability; Routing; Load Balancing; Network Design,
165,03301,03301,Dynamically Reconfigurable Architectures,,
166,03311,03311,Fixed Parameter Algorithms,,
167,03321,03321,Internet Economics,Internet Services; Pricing; Incentives; Wireless LAN; Accounting; Peer-to-Peer; ISP; Legal Issues; Auditing; Network and Traffic Management.,
168,03361,03361,Algorithmic Aspects of Large and Complex Networks,,
169,03362,03362,Data Quality on the Web,,
170,03371,03371,"Scenarios: Models, Transformations and Tools",,
171,03381,03381,New Optimization Algorithms in Physics,,
172,03391,03391,Graph Colorings,,
173,03411,03411,Language-Based Security,Access control; information flow; noninterference; downgrading; protocol analysis; protocol verification; virtual machines; end-to-end security; memory safety; compositionality; semantic models,
174,03421,03421,Theoretical and Computational Aspects of Matrix Algorithms,,
175,03451,03451,Applied Deductive Verification,,
176,03461,03461,Software Intensive Embedded Systems – with Special Emphasis on Automotive,Embedded systems; automotive; HW/SW-Co design; software engineering,
177,03491,03491,Understanding Program Dynamics,,
178,03501,03501,Robot Navigation,,
179,04061,04061,Real Computation and Complexity,,
180,04081,04081,Theory of Evolutionary Algorithms,,
181,04091,04091,Data Structures,,
182,04101,04101,Language Engineering for Model-Driven Software Development,,
183,04121,04121,Evaluating Embodied Conversational Agents,,
184,04141,04141,Complexity of Boolean Functions,,
185,04171,04171,Logic Based Information Agents,,
186,04181,04181,Atomicity in System Design and Execution,,
187,04201,04201,Content Distribution Infrastructures,,
188,04211,04211,Algorithms and Number Theory,,
189,04221,04221,Robust and Approximative Algorithms on Particular Graph Classes,,
190,04231,04231,Scheduling in Computer and Manufacturing Systems,,
191,04241,04241,Graph Transformations and Process Algebras for Modeling Distributed and Mobile Systems,,
192,04251,04251,Imaging Beyond the Pin-hole Camera. 12th Seminar on Theoretical Foundations of Computer Vision,,
193,04271,04271,"Preferences: Specification, Inference, Applications",,
194,04292,04292,Perspectives Workshop: Data Mining: The Next Generation,,
195,04371,04371,Perspectives of Model-Based Testing,,
196,04381,04381,Dependently Typed Programming,Type Theory; Programming,
197,04391,04391,Semantic Interoperability and Integration,,
198,04401,04401,Algorithms and Complexity for Continuous Problems,,
199,04411,04411,Service Management and Self-Organization in IP-based Networks,,
200,04421,04421,Algebraic Methods in Computational Complexity,,
201,04441,04441,Mobile Information Management,,
202,04451,04451,Future Generation Grids – FGG 2004,,
203,04461,04461,Practical Approaches to Multi-Objective Optimization,,
204,04491,04491,Synchronous Programming – SYNCHRON'04,,
205,05011,05011,Computing and Markets,,
206,05021,05021,"Mathematics, Algorithms, Proofs",,
207,05031,05031,Algorithms for Optimization with Incomplete Information,,
208,05051,05051,"Probabilistic, Logical and Relational Learning – Towards a Synthesis",,
209,05061,05061,Foundations of Semistructured Data,,
210,05091,05091,Multimedia Research – where do we need to go tomorrow,,
211,05101,05101,"Scheduling for Parallel Architectures: Theory, Applications, Challenges",,
212,05141,05141,Power-aware Computing Systems,,
213,05142,05142,Disruption Tolerant Networking,,
214,05151,05151,"Annotating, Extracting and Reasoning about Time and Events",,
215,05161,05161,Transformation Techniques in Software Engineering,,
216,05171,05171,"Nonmonotonic Reasoning, Answer Set Programming and Constraints",,
217,05181,05181,Mobile Computing and Ambient Intelligence: The Challenge of Multimedia,Mobile computing; ambient intelligence; multimedia,
218,05191,05191,Graph Drawing,,
219,05201,05201,Design and Analysis of Randomized and Approximation Algorithms,,
220,05221,05221,Geometric Modeling,,
221,05261,05261,Multi-Version Program Analysis,,
222,05271,05271,Semantic Grid: The Convergence of Technologies,,
223,05281,05281,Simulation & Scheduling: Companions or Competitors for Improving the Performance of Manufacturing Systems,,
224,05291,05291,Sublinear Algorithms,,
225,05301,05301,Exact Algorithms and Fixed-Parameter Tractability,,
226,05321,05321,"Belief Change in Rational Agents: Perspectives from Artificial Intelligence, Philosophy, and Economics",,
227,05361,05361,Algorithmic Aspects of Large and Complex Networks,,
228,05371,05371,Principles and Practices of Semantic Web Reasoning,,
229,05381,05381,Form and Content in Sensor Networks,,
230,05382,05382,Efficient Text Entry,,
231,05402,05402,Challenges for Software Engineering Research,,
232,05421,05421,"Data Always and Everywhere – Management of Mobile, Ubiquitous, Pervasive, and Sensor Data",Mobile Data Management; Ubiquitous Computing; Pervasive Computing; Streaming Data; Middleware; Data Integration; Data Placement; Ad-hoc Networking; Micro DBMSs; Context-Aware Applications,Data Bases; Networks; Optimization; Interdisciplinary
233,05431,05431,Deduction and Applications,,
234,05441,05441,Managing and Mining Genome Information: Frontiers in Bioinformatics,,
235,05451,05451,Beyond Program Slicing,,
236,05462,05462,Service Oriented Computing (SOC),Web service engineering; cross-enterprise computing; service description; service publication; matching + composition; service life-cycle,Software-Engeneering; multimedia; web
237,05471,05471,Computational Proteomics,,
238,05491,05491,Spatial Cognition: Specialization and Integration,,
239,05501,05501,Automatic Performance Analysis,,
240,06021,06021,Reliable Implementation of Real Number Algorithms: Theory and Practice,Real number computability; real number algorithms; reliable computing; algorithms with result verification; interval arithmetic; Taylor arithmetic; geometric computing; robustness,interdisciplinary; data structures / algorithms / complexity; modelling simulation; reliable numerical computation; geometric modelling; computability
241,06031,06031,Organic Computing – Controlled Emergence,organic computing; autonomous units; emergence; adaptive systems,artificial intelligence / robotics; modelling / simulation; networks; hardware; interdisciplinary (e.g. bioinformatics)
242,06051,06051,Kolmogorov Complexity and Applications,information theory; Kolmogorov complexity; effective randomness; algorithmic probability; recursion theory; computational complexity; machine learning and statistics; pattern recognition; data mining; and knowledge discovery.,artificial intelligence / robotics
243,06061,06061,Theory of Evolutionary Algorithms,evolutionary algorithms; theoretical analysis; optimization time; co-evolution,artificial intelligence / robotics data structures / algorithms / complexity optimization / scheduling interdisciplinary (e.g. bioinformatics)
244,06081,06081,Software Verification: Infinite-State Model Checking and Static Program Analysis,Infinite-state systems; model checking; program analysis; software verification,Verification/logic; semantics/specification; programming languages/compilers
245,06091,06091,Data Structures,data structures; algorithms; large data sets; external memory algorithms; streaming model,data bases / information retrieval; data structures / algorithms / complexity; web; networks
246,06101,06101,"Spatial Data: Mining, Processing and Communicating",,
247,06111,06111,Complexity of Boolean Functions,,
248,06121,06121,Atomicity: A Unifying Concept in Computer Science,,
249,06131,06131,Peer-to-Peer-Systems and -Applications,Peer-to-Peer; self-organization; massively distributed systems,networks
250,06132,06132,Internet Economics,Communications; Networking; Internet; Economics,Interdisciplinary
251,06141,06141,Dynamically Reconfigurable Architectures,,
252,06161,06161,Simulation and Verification of Dynamic Systems,,
253,06171,06171,Content-Based Retrieval,,
254,06172,06172,Directed Model Checking,Model Checking; Artificial Intelligence; AI Plannning; Guided Traversal; State Explosion Problem; Error Detection; Protocol Analysis; Hardware and Software Verification and Validation; Heuristics; Evaluation Functions; Relaxations; Lower Bounds; Pattern Databases; Abstractions; Heuristic Search (Best-First Search; A*; IDA*; etc.); Local Search (Hill-Climbing; Genetic Algorithms; etc.); Symbolic Heuristic Search (BDDA*; ADDA*; SetA*; SA* etc.); Byte-Code and Object-Code Verification; I/O Efficient Search; Symmetry Reduction; Partial-Order Reduction; Search Space Partitioning; Bounded Model Checking,Verification/Logic; Artificial Intelligence; Sofware-Engineering; Heuristics/Evolutionary Algorithms; Data Structures/Algorithms/Complexity
255,06181,06181,Latently-Typed Languages,latent typing; object-oriented programming; functional programming; introductory teaching; domain-specific languages; programming environments; refactoring,programming languages / compiler
256,06191,06191,Rigorous Methods for Software Construction and Analysis,,
257,06201,06201,Combinatorial and Algorithmic Foundations of Pattern and Association Discovery,,
258,06221,06221,"Computational Aesthetics in Graphics, Visualization and Imaging",,
259,06231,06231,Towards Affordance-Based Robot Control,Autonomous mobile robot; robot control architecture; robot perception; cognitive robotics; knowledge representation and learning; affordances; cognitive role of function and action; attention; motivation,Artificial Intelligence / Robotics (primary); Interdisciplinary: Cognitive Sciences (secondary)
260,06241,06241,"Human Motion – Understanding, Modeling, Capture and Animation. 13th Workshop on Theoretical Foundations of Computer Vision",Human motion; object representation; pose recovery; inverse kinematics,Computer graphics; computer vision; Biomechanics
261,06251,06251,"Multi-Robot Systems: Perception, Behaviors, Learning, and Action",autonomous robots; multi-robot systems; object recognition; robot-human interaction; modeling; robot simulation,artificial intelligence / robotics
262,06261,06261,Foundations and Practice of Programming Multi-Agent Systems,Agent-oriented programming; Agent-oriented software engineering; Multi-agent implementation languages; Agent development tools and platforms; Semantics of agent-oriented languages; Specification and verification of multi-agent systems; Theories of multi-agent programming,artificial intelligence / robotics; programming languages / compiler; sw-engineering; semantics / formal methods; verification / logic
263,06271,06271,Challenges in Symbolic Computation Software,"Symbolic computation; computer algebra; computational algebraic geometry; combinatorial methods in algebra; hybrid symbolic-numerical methods; computational number theory; computational group theory; algorithm design; symbolic computation languages, systems and user interfaces",data structures / algorithms / complexity
264,06291,06291,The Role of Business Processes in Service Oriented Architectures,Business Process Management; Workflow Management; Middleware; Service Oriented Architecture; Web Services; Petri-Nets; Transaction Models; Mega-Programming,SW-Engineering; Verification; Web; Semantics/Formal Methods
265,06301,06301,"Duplication, Redundancy, and Similarity in Software",Software clones; code redundancy; clone detection; redundancy removal; software refactoring; software,"Sw-engineering; ACM Classifications: D.2.7, D.2.13, K.5.1."
266,06302,06302,Aspects For Legacy Applications,AOSD; software evolution; aspect identification (aspect mining); refactoring; program understanding; program transformation; program analysis,programming languages / compiler
267,06311,06311,Sensor Data and Information Fusion in Computer Vision and Medicine,sensor and data fusion; adaptive fusion; multimodal fusion; multiple classifier fusion; computer vision; robotics; medical imaging,artificial intelligence / robotics
268,06341,06341,"Computational Structures for Modelling Space, Time and Causality",Mathematical structures in computer science; Interdisciplinary: computer science and physics; Verification / logic; Semantics / formal methods,Geometry; topology; domains; approximation by finite T0-spaces; closure spaces; logic; causal sets; order-theoretic and generalized metric models; quantum gravity; general relativity
269,06351,06351,Methods for Modelling Software Systems (MMOSS),Modelling Methods; Design Models; Verification Models; Problem-solution co-refinement,modelling / simulation; sw-engineering; semantics / formal methods; verification / logic
270,06361,06361,Computing Media and Languages for Space-Oriented Computation,hardware architecture; computing medium; space-oriented computation; nonconventional programming models,Architecture; Programming Languages / Compiler
271,06371,06371,From Security to Dependability,fault-tolerant systems; distributed computing,modelling / simulation; security / cryptography; networks; semantics / formal methods; verification / logic
272,06381,06381,Computer Science in Sport,Modelling and Simulation; Multimedia; Sports management; Soft computing / computational intelligence; E-learning; Distributed games. Interdisciplinary collaboration; Behavioral process analysis; Net-based pattern analysis; Information and communication technology. Game analysis / notational analysis; Training and competition analysis; Training and competition data management; Performance analysis; Biomechanics; Assisted mobility,Interdisciplinary: sport
273,06391,06391,Algorithms and Complexity for Continuous Problems,Continuous algorithms; Continuous complexity; Tractability; High-dimensional problems; Operator equations; Quantum computation; Stochastic computation; Ill-posed problems; Monte Carlo; Qubit complexity; Random noise; Approximation theory; Lattice rules,Continuous algorithms/complexity
274,06401,06401,Complexity of Constraints,constraint satisfaction problem; satisfiability problems; counting problems; computational complexity; Post’s lattice; Galois correspondence; universal algebra; homomorphism problem; combinatorics.,data structures/algorithms/complexity
275,06421,06421,Robot Navigation,,robotics; Interdisciplinary
276,06431,06431,Scalable Data Management in Evolving Networks,Data management; mobile ad-hoc networks; p2p systems; sensor networks,Databases / Networks
277,06441,06441,Naming and Addressing for Next-Generation Internetworks,Naming; addressing; network architecture; next-generation networks; security; privacy,mobile Computing; Security/Cryptography; Networks
278,06451,06451,"Circuits, Logic, and Games",computational complexity theory; finite model theory; Boolean circuits; regular languages; finite monoids; Ehrenfeucht-Fraisse-games.,data structures/algorithms/complexity
279,06461,06461,Negotiation and Market Engineering,Negotiations; Auctions; Decision Support Systems; Software Agents,web; society; electronic markets; interdisciplinary (computer science and economics)
280,06472,06472,XQuery Implementation Paradigms,XQuery; XQuery Compilers; Relational Database Systems; Native XML Database Systems; XML Stream Processing; Database Query Processing and Optimization; Database Benchmarks,data bases / information retrieval web programming languages / compiler
281,06481,06481,Geometric Networks and Metric Space Embeddings,geometric networks; metric space embeddings; spanners; dilation,data structures; algorithms; complexity
282,06491,06491,"Digital Historical Corpora – Architecture, Annotation, and Retrieval",Corpus architecture; annotation standards; multilingual; multimodal corpora; fuzzy search; multilevel hypertext,Interdisciplinary (Computer Science; Computational Linguistics; Corpus Linguistics; Literacy; Bioinformatics) Own Categories: Corpus architecture; Processing and representing multilingual and multimodal parallel text corpora; Annotation standards; Retrieval facilities in multilevel hypertext
283,06501,06501,Practical Approaches to Multi-Objective Optimization,Multi-criteria optimization; evolutionary and classical methods; interaction,artificial intelligence optimization soft computing
284,07011,07011,Runtime Verification,dynamic program analysis; specification languages and logics; program instrumentation; aspect-oriented programming; program guidance,verification / logic
285,07021,07021,Symmetric Cryptography,Authenticity; Integrity; Privacy; Block Ciphers; Stream Ciphers; Hash Functions; Provable Security; Cryptanalysis,security / cryptography
286,07041,07041,Power-aware Computing Systems,power-aware architectures,modelling / simulation; hardware; programming languages / compiler
287,07051,07051,Programming Paradigms for the Web: Web Programming and Web Services,web programming; programming concepts; program analysis; type systems; scripting languages; XML processing and querying,data bases / information retrieval; web; programming languages / compiler; semantics / formal methods; verification / logic
288,07061,07061,Autonomous and Adaptive Web Services,web programming; programming concepts; program analysis; type systems; scripting languages; XML processing and querying,data bases / information retrieval; web; programming languages / compiler; semantics / formal methods; verification / logic
289,07071,07071,Web Information Retrieval and Linear Algebra Algorithms,Markov chains; numerical methods; web information retrieval; performance evaluation; intrusion detection; aggregation-disaggregation methods; graph-oriented decomposition,data bases / information retrieval; modelling / simulation; web; security / cryptography; networks; interdisciplinary
290,07081,07081,End-User Software Engineering,end-user software engineering; end-user programming,sw-engineering; programming languages; human-computer interaction; empirical studies
291,07091,07091,"Mobility, Ubiquity and Security",security; information-flow/resource control; security type systems; security logics; proof-carrying code,mobile computing; security / cryptography; networks; verification / logic
292,07101,07101,Quantitative Aspects of Embedded Systems,performance/reliability; embedded systems; software; model-driven design,modelling / simulation; data structures / algorithms / complexity; optimization / scheduling; programming languages / compiler; sw-engineering; semantics / formal methods; verification / logic; embedded systems
293,07112,07112,"Cutting, Packing, Layout and Space Allocation",Cutting and Packing; Nesting; Space Allocation; Layout; Optimisation,optimization / scheduling; interdisciplinary; Operational Research; Artificial Intelligence
294,07131,07131,Similarity-based Clustering and its Application to Medicine and Biology,Similarity-based clustering and classification; prototype-based classifiers; self-organisation; SOM; learning vector quantization; medical diagnosis; bioinformatics,AI; Soft computing; Interdisciplinary (medicine/biology)
295,07132,07132,Towards Interoperability of Biomedical Ontologies,formal ontology; biomedical ontology; standardization; data integration; information retrieval; reasoning with information at different levels of granularity,semantics / formal methods; interdisciplinary: bioinformatics; medical informatics
296,07151,07151,Geometry in Sensor Networks,sensor networks; computational geometry,Networks; algorithms; mobile computing
297,07161,07161,"Probabilistic, Logical and Relational Learning – A Further Synthesis",artificial intelligence; machine learning; uncertainty in artificial intelligence; probabilistic reasoning; knowledge representation; logic programming; relational learning; inductive logic programming; graphical models,artificial intelligence / robotics; interdisciplinary (e.g. bioinformatics; machine learning; statistical relational learning
298,07171,07171,Visual Computing – Convergence of Computer Graphics and Computer Vision,Image- and video-based modeling and rendering; perception-guided modeling and rendering; texture synthesis; scattering and reflectance measurement and rendering; capturing reality (appearance; motion) from images; 3D acquisition and display; 3D reconstruction; image and model compression; computational photography; high dynamic range imaging,computer graphics / computer vision
299,07181,07181,Parallel Universes and Local Patterns,Data mining; local patterns; anomaly detection; parallel universes,data bases / information retrieval; soft computing; interdisciplinary
300,07191,07191,Event Processing,Event Processing; Real-time Information Systems; Reactive systems; Proactive systems; Active Technologies.,Event Processing (main classification); Artificial Intelligence; Databases; Programming Languages; Semantics/specification/formal methods; Software Engineering.
301,07211,07211,"Exact, Approximative, Robust and Certifying Algorithms on Particular Graph Classes",exact algorithms for NP-hard graph problems; approximation algorithms for graph problems; robust graph algorithms; verified problem solving,data structures / algorithms / complexity
302,07212,07212,"Constraint Databases, Geometric Elimination and Geographic Information Systems",constraint databases; geometric elimination; quantier elimination algorithms; geographic information systems,data bases / information retrieval; data structures / algorithms / complexity; interdisciplinary; geographic information systems
303,07221,07221,"Information Visualization – Human-Centered Issues in Visual Representation, Interaction, and Evaluation",Information Visualization; Data Visualization; Visualization; Human-Computer Interaction,computer graphics / computer vision; interdisciplinary; visualization
304,07241,07241,"Tools for the Model-based Development of Certifiable, Dependable Systems",dependable systems; safety; security; certification; formal methods; modelling; verification; tools,semantics / formal methods; verification / logic Own Category: 	dependable systems
305,07261,07261,Fair Division,Economics; Fairness; Allocation; Political Science,Interdisciplinary; Economics
306,07271,07271,Computational Social Systems and the Internet,Mechanism Design; Combinatorial Auctions; Social Choice Theory; Behavioural Economics; Computational Game Theory; Social Networks,algorithms; sociology; interdisciplinary; AI; networks; optimization; web
307,07281,07281,"Structure Theory and FPT Algorithmics for Graphs, Digraphs and Hypergraphs",fixed parameter tractable; graphs; digraphs; hypergraphs,data structures / algorithms / complexity; networks; optimization / scheduling
308,07291,07291,Scientific Visualization,Markov chains; numerical methods; web information retrieval; performance evaluation; intrusion detection; aggregation-disaggregation methods; graph-oriented decomposition,data bases / information retrieval; modelling / simulation; web; security / cryptography; networks; interdisciplinary
309,07311,07311,Frontiers of Electronic Voting,electronic voting; voting machines; encryption; anonymous channel; privacy protection; verifiability; authentication; integrity; digital receipts; coercion resistance; cryptanalysis; thread models; formal security analysis; voting protocols; commercial voting systems; standardization; legal models; e-democracy; usability and social effects,security / cryptography; interdisciplinary with non-informatics-topic standardization; legal and social problems; political sciences
310,07341,07341,Code Instrumentation and Modeling for Parallel Performance Analysis,program instrumentation; performance analysis; performance modeling; parallel and distributed computing,sw-engineering; optimization/scheduling; modeling simulation; programming languages / compiler
311,07351,07351,Formal Models of Belief Change in Rational Agents,belief change; rational agents; information economy; information processing,artificial intelligence / robotics; interdisciplinary with non-informatics-topic: Economics; Decision Theory; Philosophy
312,07361,07361,Programming Models for Ubiquitous Parallelism,parallelism; parallel computing; compiler; multi-core processors; programming languages; libraries; IDE; middleware; hardware; operating systems,hardware; programming languages / compiler
313,07381,07381,Cryptography,cryptography; provable security; mathematical foundations; protocols,security / cryptography
314,07391,07391,Probabilistic Methods in the Design and Analysis of Algorithms,,Algorithms/Probabilistic Methods/Analysis/Complexity
315,07401,07401,Deduction and Decision Procedures,automated deduction; decision procedures; verfication and specification,artificial intelligence / robotics; semantics / specification /formal methods; verification / logic
316,07411,07411,Algebraic Methods in Computational Complexity,computational complexity; algebra; quantum computing; (de-) randomization,data structures / algorithms / complexity; security / cryptography
